policy_name,enter_threshold,exit_threshold,min_history_hours,min_consecutive_hours,refractory_hours,max_alerts_per_stay,n_patients,positive_rate,patient_alert_rate,positive_patient_alert_rate,negative_patient_alert_rate,alert_events_per_patient_day,alert_state_hours_per_patient_day,median_first_alert_hour_positive,median_first_alert_hour_all,mean_alert_events_per_alerted_patient,positive_alert_rate_at_6h,negative_alert_rate_at_6h,patient_alert_rate_at_6h,positive_alert_rate_at_12h,negative_alert_rate_at_12h,patient_alert_rate_at_12h,positive_alert_rate_at_24h,negative_alert_rate_at_24h,patient_alert_rate_at_24h,positive_alert_rate_at_36h,negative_alert_rate_at_36h,patient_alert_rate_at_36h,positive_alert_rate_at_48h,negative_alert_rate_at_48h,patient_alert_rate_at_48h,cumulative_alert_metrics,constraint_penalty,feasible
policy_0553,0.75,0.75,7,1,6,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.1247,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0554,0.75,0.75,7,1,12,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.1247,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0555,0.75,0.75,7,1,24,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.1247,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0559,0.75,0.7,7,1,6,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.6475,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0560,0.75,0.7,7,1,12,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.6475,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0561,0.75,0.7,7,1,24,1,6297,0.1787,0.2184,0.624,0.1301,0.1092,2.6475,8.0,9.0,1.0,0.0,0.0,0.0,0.3893,0.0777,0.1334,0.5031,0.1083,0.1788,0.5618,0.1197,0.1987,0.624,0.1301,0.2184,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1334, 'positive_alert_rate': 0.3893, 'negative_alert_rate': 0.0777}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1788, 'positive_alert_rate': 0.5031, 'negative_alert_rate': 0.1083}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.1987, 'positive_alert_rate': 0.5618, 'negative_alert_rate': 0.1197}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2184, 'positive_alert_rate': 0.624, 'negative_alert_rate': 0.1301}]",0.0,True
policy_0541,0.75,0.75,6,1,6,1,6297,0.1787,0.2211,0.6284,0.1324,0.1105,2.1534,8.0,9.0,1.0,0.2649,0.0451,0.0843,0.3947,0.0804,0.1366,0.5076,0.1106,0.1815,0.5662,0.122,0.2014,0.6284,0.1324,0.2211,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0843, 'positive_alert_rate': 0.2649, 'negative_alert_rate': 0.0451}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1366, 'positive_alert_rate': 0.3947, 'negative_alert_rate': 0.0804}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1815, 'positive_alert_rate': 0.5076, 'negative_alert_rate': 0.1106}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.2014, 'positive_alert_rate': 0.5662, 'negative_alert_rate': 0.122}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2211, 'positive_alert_rate': 0.6284, 'negative_alert_rate': 0.1324}]",0.0,True
policy_0542,0.75,0.75,6,1,12,1,6297,0.1787,0.2211,0.6284,0.1324,0.1105,2.1534,8.0,9.0,1.0,0.2649,0.0451,0.0843,0.3947,0.0804,0.1366,0.5076,0.1106,0.1815,0.5662,0.122,0.2014,0.6284,0.1324,0.2211,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0843, 'positive_alert_rate': 0.2649, 'negative_alert_rate': 0.0451}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1366, 'positive_alert_rate': 0.3947, 'negative_alert_rate': 0.0804}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1815, 'positive_alert_rate': 0.5076, 'negative_alert_rate': 0.1106}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.2014, 'positive_alert_rate': 0.5662, 'negative_alert_rate': 0.122}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2211, 'positive_alert_rate': 0.6284, 'negative_alert_rate': 0.1324}]",0.0,True
policy_0543,0.75,0.75,6,1,24,1,6297,0.1787,0.2211,0.6284,0.1324,0.1105,2.1534,8.0,9.0,1.0,0.2649,0.0451,0.0843,0.3947,0.0804,0.1366,0.5076,0.1106,0.1815,0.5662,0.122,0.2014,0.6284,0.1324,0.2211,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0843, 'positive_alert_rate': 0.2649, 'negative_alert_rate': 0.0451}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1366, 'positive_alert_rate': 0.3947, 'negative_alert_rate': 0.0804}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1815, 'positive_alert_rate': 0.5076, 'negative_alert_rate': 0.1106}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.2014, 'positive_alert_rate': 0.5662, 'negative_alert_rate': 0.122}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2211, 'positive_alert_rate': 0.6284, 'negative_alert_rate': 0.1324}]",0.0,True
policy_0547,0.75,0.7,6,1,6,1,6297,0.1787,0.2211,0.6284,0.1324,0.1105,2.6913,8.0,9.0,1.0,0.2649,0.0451,0.0843,0.3947,0.0804,0.1366,0.5076,0.1106,0.1815,0.5662,0.122,0.2014,0.6284,0.1324,0.2211,"[{'hour': 6, 'n_patients': 6297, 'patient_alert_rate': 0.0843, 'positive_alert_rate': 0.2649, 'negative_alert_rate': 0.0451}, {'hour': 12, 'n_patients': 6297, 'patient_alert_rate': 0.1366, 'positive_alert_rate': 0.3947, 'negative_alert_rate': 0.0804}, {'hour': 24, 'n_patients': 6297, 'patient_alert_rate': 0.1815, 'positive_alert_rate': 0.5076, 'negative_alert_rate': 0.1106}, {'hour': 36, 'n_patients': 6297, 'patient_alert_rate': 0.2014, 'positive_alert_rate': 0.5662, 'negative_alert_rate': 0.122}, {'hour': 48, 'n_patients': 6297, 'patient_alert_rate': 0.2211, 'positive_alert_rate': 0.6284, 'negative_alert_rate': 0.1324}]",0.0,True
