policy_name,enter_threshold,exit_threshold,min_history_hours,min_consecutive_hours,refractory_hours,max_alerts_per_stay,n_patients,positive_rate,patient_alert_rate,positive_patient_alert_rate,negative_patient_alert_rate,alert_events_per_patient_day,alert_state_hours_per_patient_day,median_first_alert_hour_positive,median_first_alert_hour_all,mean_alert_events_per_alerted_patient,positive_alert_rate_at_6h,negative_alert_rate_at_6h,patient_alert_rate_at_6h,positive_alert_rate_at_12h,negative_alert_rate_at_12h,patient_alert_rate_at_12h,positive_alert_rate_at_24h,negative_alert_rate_at_24h,patient_alert_rate_at_24h,positive_alert_rate_at_36h,negative_alert_rate_at_36h,patient_alert_rate_at_36h,positive_alert_rate_at_48h,negative_alert_rate_at_48h,patient_alert_rate_at_48h,cumulative_alert_metrics,constraint_penalty,feasible
policy_1369,0.87,0.87,7,1,6,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,1.8169,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1370,0.87,0.87,7,1,12,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,1.8169,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1371,0.87,0.87,7,1,24,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,1.8169,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1372,0.87,0.87,7,1,48,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,1.8169,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1377,0.87,0.85,7,1,6,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.1494,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1378,0.87,0.85,7,1,12,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.1494,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1379,0.87,0.85,7,1,24,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.1494,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1380,0.87,0.85,7,1,48,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.1494,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1385,0.87,0.82,7,1,6,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.5375,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
policy_1386,0.87,0.82,7,1,12,1,6297,0.1787,0.3379,0.5502,0.2918,0.1917,2.5375,7.0,7.0,1.0,0.0,0.0,0.0,0.5245,0.2754,0.3194,0.5249,0.2946,0.3346,0.5225,0.3258,0.3631,0.5159,0.3411,0.3756,"[{'hour': 6, 'n_patients': 6295, 'patient_alert_rate': 0.0, 'positive_alert_rate': 0.0, 'negative_alert_rate': 0.0}, {'hour': 12, 'n_patients': 6234, 'patient_alert_rate': 0.3194, 'positive_alert_rate': 0.5245, 'negative_alert_rate': 0.2754}, {'hour': 24, 'n_patients': 5795, 'patient_alert_rate': 0.3346, 'positive_alert_rate': 0.5249, 'negative_alert_rate': 0.2946}, {'hour': 36, 'n_patients': 4924, 'patient_alert_rate': 0.3631, 'positive_alert_rate': 0.5225, 'negative_alert_rate': 0.3258}, {'hour': 48, 'n_patients': 4297, 'patient_alert_rate': 0.3756, 'positive_alert_rate': 0.5159, 'negative_alert_rate': 0.3411}]",0.0,True
